"dx [mm]","dy [mm]","Freq [GHz]","dB(St(coax_pin_T1,coax_pin_T1)) []"
30.65,30.72,5,-0.799798910745819
30.65,30.72,5.00917431192661,-0.821477690099272
30.65,30.72,5.01834862385321,-0.84405195270999
30.65,30.72,5.02752293577982,-0.867568609725816
30.65,30.72,5.03669724770642,-0.892077807144008
30.65,30.72,5.04587155963303,-0.917633165195143
30.65,30.72,5.05504587155963,-0.944292036414675
30.65,30.72,5.06422018348624,-0.972115784452431
30.65,30.72,5.07339449541284,-1.00117008598241
30.65,30.72,5.08256880733945,-1.03152525843185
30.65,30.72,5.09174311926605,-1.06325661664532
30.65,30.72,5.10091743119266,-1.09644486204996
30.65,30.72,5.11009174311927,-1.13117650838754
30.65,30.72,5.11926605504587,-1.16754434864341
30.65,30.72,5.12844036697248,-1.20564796843224
30.65,30.72,5.13761467889908,-1.24559431180976
30.65,30.72,5.14678899082569,-1.28749830628091
30.65,30.72,5.15596330275229,-1.33148355467867
30.65,30.72,5.1651376146789,-1.37768310261969
30.65,30.72,5.1743119266055,-1.4262402914165
30.65,30.72,5.18348623853211,-1.47730970767742
30.65,30.72,5.19266055045872,-1.53105824237591
30.65,30.72,5.20183486238532,-1.58766627397069
30.65,30.72,5.21100917431193,-1.64732899224046
30.65,30.72,5.22018348623853,-1.71025788192348
30.65,30.72,5.22935779816514,-1.7766823880854
30.65,30.72,5.23853211009174,-1.84685178844687
30.65,30.72,5.24770642201835,-1.92103730178533
30.65,30.72,5.25688073394495,-1.99953446607362
30.65,30.72,5.26605504587156,-2.08266582536933
30.65,30.72,5.27522935779817,-2.17078397075302
30.65,30.72,5.28440366972477,-2.26427498801689
30.65,30.72,5.29357798165138,-2.36356237351701
30.65,30.72,5.30275229357798,-2.46911148986533
30.65,30.72,5.31192660550459,-2.5814346452372
30.65,30.72,5.32110091743119,-2.70109689431927
30.65,30.72,5.3302752293578,-2.8287226757312
30.65,30.72,5.3394495412844,-2.96500342054967
30.65,30.72,5.34862385321101,-3.11070628990281
30.65,30.72,5.35779816513761,-3.26668422707458
30.65,30.72,5.36697247706422,-3.43388754191332
30.65,30.72,5.37614678899083,-3.61337728338266
30.65,30.72,5.38532110091743,-3.80634070086288
30.65,30.72,5.39449541284404,-4.01410914749753
30.65,30.72,5.40366972477064,-4.23817884104633
30.65,30.72,5.41284403669725,-4.48023497140452
30.65,30.72,5.42201834862385,-4.7421797319312
30.65,30.72,5.43119266055046,-5.02616495798967
30.65,30.72,5.44036697247706,-5.33463018625106
30.65,30.72,5.44954128440367,-5.67034711074557
30.65,30.72,5.45871559633028,-6.03647161850931
30.65,30.72,5.46788990825688,-6.43660485671948
30.65,30.72,5.47706422018349,-6.8748651389141
30.65,30.72,5.48623853211009,-7.35597297158434
30.65,30.72,5.4954128440367,-7.88535210668732
30.65,30.72,5.5045871559633,-8.46925031383786
30.65,30.72,5.51376146788991,-9.11488445344094
30.65,30.72,5.52293577981651,-9.83061511948872
30.65,30.72,5.53211009174312,-10.6261556746185
30.65,30.72,5.54128440366972,-11.5128163320824
30.65,30.72,5.55045871559633,-12.503769174031
30.65,30.72,5.55963302752294,-13.6142765231612
30.65,30.72,5.56880733944954,-14.8617048061541
30.65,30.72,5.57798165137615,-16.2648195157869
30.65,30.72,5.58715596330275,-17.8409753961122
30.65,30.72,5.59633027522936,-19.5974870437059
30.65,30.72,5.60550458715596,-21.5079159509775
30.65,30.72,5.61467889908257,-23.4558369450011
30.65,30.72,5.62385321100917,-25.1479752808929
30.65,30.72,5.63302752293578,-26.1497244106986
30.65,30.72,5.64220183486238,-26.2787379228714
30.65,30.72,5.65137614678899,-25.8494866188536
30.65,30.72,5.6605504587156,-25.2833918326368
30.65,30.72,5.6697247706422,-24.8119857485466
30.65,30.72,5.67889908256881,-24.5013809914101
30.65,30.72,5.68807339449541,-24.325167625628
30.65,30.72,5.69724770642202,-24.1962383785248
30.65,30.72,5.70642201834862,-23.9797869980564
30.65,30.72,5.71559633027523,-23.5269095483484
30.65,30.72,5.72477064220183,-22.7460780893504
30.65,30.72,5.73394495412844,-21.6599082070804
30.65,30.72,5.74311926605505,-20.3788847892534
30.65,30.72,5.75229357798165,-19.0263696270369
30.65,30.72,5.76146788990826,-17.6917746314877
30.65,30.72,5.77064220183486,-16.4251403677605
30.65,30.72,5.77981651376147,-15.2486521481624
30.65,30.72,5.78899082568807,-14.1684422722476
30.65,30.72,5.79816513761468,-13.1824254530977
30.65,30.72,5.80733944954128,-12.2847415909741
30.65,30.72,5.81651376146789,-11.4680930245368
30.65,30.72,5.8256880733945,-10.7249167695335
30.65,30.72,5.8348623853211,-10.0479430043191
30.65,30.72,5.84403669724771,-9.43043787340878
30.65,30.72,5.85321100917431,-8.86628670895694
30.65,30.72,5.86238532110092,-8.34999845989475
30.65,30.72,5.87155963302752,-7.87667297397938
30.65,30.72,5.88073394495413,-7.44195253169651
30.65,30.72,5.88990825688073,-7.04196853877116
30.65,30.72,5.89908256880734,-6.67328882170627
30.65,30.72,5.90825688073395,-6.33286811438721
30.65,30.72,5.91743119266055,-6.01800282745031
30.65,30.72,5.92660550458716,-5.72629041203836
30.65,30.72,5.93577981651376,-5.45559323022189
30.65,30.72,5.94495412844037,-5.20400664922809
30.65,30.72,5.95412844036697,-4.96983099176331
30.65,30.72,5.96330275229358,-4.75154694935959
30.65,30.72,5.97247706422018,-4.54779407213629
30.65,30.72,5.98165137614679,-4.35735197112613
30.65,30.72,5.99082568807339,-4.17912389975299
30.65,30.72,6,-4.01212241416774
