"dis [cm]","disy [cm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.065,3.072,5.65,0,-180,-9.41149767168084
3.065,3.072,5.65,0,-178,-10.2543120643407
3.065,3.072,5.65,0,-176,-12.2675818246888
3.065,3.072,5.65,0,-174,-15.0210271180993
3.065,3.072,5.65,0,-172,-16.6162528710377
3.065,3.072,5.65,0,-170,-16.0905429973559
3.065,3.072,5.65,0,-168,-15.7245960438327
3.065,3.072,5.65,0,-166,-16.7197572738867
3.065,3.072,5.65,0,-164,-19.1812965634942
3.065,3.072,5.65,0,-162,-21.2111110120618
3.065,3.072,5.65,0,-160,-19.4227229848466
3.065,3.072,5.65,0,-158,-17.0795851477327
3.065,3.072,5.65,0,-156,-16.0151587106174
3.065,3.072,5.65,0,-154,-16.1704890973541
3.065,3.072,5.65,0,-152,-17.2380797065656
3.065,3.072,5.65,0,-150,-18.6181791044563
3.065,3.072,5.65,0,-148,-19.3184998232607
3.065,3.072,5.65,0,-146,-18.9589394097509
3.065,3.072,5.65,0,-144,-18.1728508951341
3.065,3.072,5.65,0,-142,-17.3651604412509
3.065,3.072,5.65,0,-140,-16.513094030073
3.065,3.072,5.65,0,-138,-15.6064783963867
3.065,3.072,5.65,0,-136,-14.8160428866765
3.065,3.072,5.65,0,-134,-14.3684766399471
3.065,3.072,5.65,0,-132,-14.439177472114
3.065,3.072,5.65,0,-130,-15.1542472862866
3.065,3.072,5.65,0,-128,-16.6111626754373
3.065,3.072,5.65,0,-126,-18.751505880898
3.065,3.072,5.65,0,-124,-20.5235558951559
3.065,3.072,5.65,0,-122,-19.5394740995735
3.065,3.072,5.65,0,-120,-16.8183094196667
3.065,3.072,5.65,0,-118,-14.3582595546736
3.065,3.072,5.65,0,-116,-12.5092272103831
3.065,3.072,5.65,0,-114,-11.1779754417793
3.065,3.072,5.65,0,-112,-10.2432566883651
3.065,3.072,5.65,0,-110,-9.60748035062509
3.065,3.072,5.65,0,-108,-9.19392922847311
3.065,3.072,5.65,0,-106,-8.93971030419847
3.065,3.072,5.65,0,-104,-8.79073938000294
3.065,3.072,5.65,0,-102,-8.69893760490037
3.065,3.072,5.65,0,-100,-8.62120474088099
3.065,3.072,5.65,0,-98,-8.51977025907689
3.065,3.072,5.65,0,-96,-8.3634886707819
3.065,3.072,5.65,0,-94,-8.129522035705
3.065,3.072,5.65,0,-92,-7.80478104493258
3.065,3.072,5.65,0,-90,-7.38660787414492
3.065,3.072,5.65,0,-88,-6.88248212097043
3.065,3.072,5.65,0,-86,-6.30888044819988
3.065,3.072,5.65,0,-84,-5.68966569290923
3.065,3.072,5.65,0,-82,-5.05446257853992
3.065,3.072,5.65,0,-80,-4.43743699019648
3.065,3.072,5.65,0,-78,-3.8768158101712
3.065,3.072,5.65,0,-76,-3.41544478557852
3.065,3.072,5.65,0,-74,-3.10276538763721
3.065,3.072,5.65,0,-72,-2.99892133248535
3.065,3.072,5.65,0,-70,-3.18254135313559
3.065,3.072,5.65,0,-68,-3.76571706034962
3.065,3.072,5.65,0,-66,-4.92409870942687
3.065,3.072,5.65,0,-64,-6.95427293792617
3.065,3.072,5.65,0,-62,-10.2528003522716
3.065,3.072,5.65,0,-60,-12.9096451221934
3.065,3.072,5.65,0,-58,-8.92266028543653
3.065,3.072,5.65,0,-56,-4.40315503330041
3.065,3.072,5.65,0,-54,-1.28508605673419
3.065,3.072,5.65,0,-52,0.745217386725857
3.065,3.072,5.65,0,-50,1.87170286439021
3.065,3.072,5.65,0,-48,2.10276944214274
3.065,3.072,5.65,0,-46,1.25866999588365
3.065,3.072,5.65,0,-44,-1.2285405729931
3.065,3.072,5.65,0,-42,-7.55417797000194
3.065,3.072,5.65,0,-40,-13.6969543599157
3.065,3.072,5.65,0,-38,-1.57623308885245
3.065,3.072,5.65,0,-36,3.17324714295601
3.065,3.072,5.65,0,-34,5.53825450389158
3.065,3.072,5.65,0,-32,6.30448431944154
3.065,3.072,5.65,0,-30,5.44088802708019
3.065,3.072,5.65,0,-28,2.0525236110162
3.065,3.072,5.65,0,-26,-10.2861694270298
3.065,3.072,5.65,0,-24,-0.543335591506434
3.065,3.072,5.65,0,-22,6.74735119923504
3.065,3.072,5.65,0,-20,9.97503045012529
3.065,3.072,5.65,0,-18,11.0637877327438
3.065,3.072,5.65,0,-16,10.049548294048
3.065,3.072,5.65,0,-14,5.19467982412597
3.065,3.072,5.65,0,-12,-5.40722354683288
3.065,3.072,5.65,0,-10,11.2434343249951
3.065,3.072,5.65,0,-8,17.171821124028
3.065,3.072,5.65,0,-6,20.6473832048928
3.065,3.072,5.65,0,-4,22.79623323276
3.065,3.072,5.65,0,-2,23.9917778240765
3.065,3.072,5.65,0,0,24.3821624113669
3.065,3.072,5.65,0,2,24.0081885129996
3.065,3.072,5.65,0,4,22.8284225896469
3.065,3.072,5.65,0,6,20.6938439622549
3.065,3.072,5.65,0,8,17.2292838906641
3.065,3.072,5.65,0,10,11.3026455595243
3.065,3.072,5.65,0,12,-5.39729830218782
3.065,3.072,5.65,0,14,5.36236860475163
3.065,3.072,5.65,0,16,10.1920806152682
3.065,3.072,5.65,0,18,11.1978368092844
3.065,3.072,5.65,0,20,10.0935108118712
3.065,3.072,5.65,0,22,6.82541278020763
3.065,3.072,5.65,0,24,-0.595146001239293
3.065,3.072,5.65,0,26,-8.62534938073692
3.065,3.072,5.65,0,28,2.51203685958986
3.065,3.072,5.65,0,30,5.76922231522756
3.065,3.072,5.65,0,32,6.55751118806891
3.065,3.072,5.65,0,34,5.70473448953904
3.065,3.072,5.65,0,36,3.19109337118105
3.065,3.072,5.65,0,38,-1.92548021993713
3.065,3.072,5.65,0,40,-15.3143583516002
3.065,3.072,5.65,0,42,-5.55476588011433
3.065,3.072,5.65,0,44,-0.0639640769569161
3.065,3.072,5.65,0,46,2.17785409595608
3.065,3.072,5.65,0,48,2.89229606976416
3.065,3.072,5.65,0,50,2.56096056507059
3.065,3.072,5.65,0,52,1.32435823878504
3.065,3.072,5.65,0,54,-0.871787216773097
3.065,3.072,5.65,0,56,-4.32226458222996
3.065,3.072,5.65,0,58,-9.71128191766589
3.065,3.072,5.65,0,60,-14.1643797996028
3.065,3.072,5.65,0,62,-9.40215762690206
3.065,3.072,5.65,0,64,-5.75475632474068
3.065,3.072,5.65,0,66,-3.68658521012425
3.065,3.072,5.65,0,68,-2.52935753295109
3.065,3.072,5.65,0,70,-1.95020348199321
3.065,3.072,5.65,0,72,-1.76829318261637
3.065,3.072,5.65,0,74,-1.87185033099822
3.065,3.072,5.65,0,76,-2.1837337164298
3.065,3.072,5.65,0,78,-2.64559965517031
3.065,3.072,5.65,0,80,-3.20993483020776
3.065,3.072,5.65,0,82,-3.83587256869975
3.065,3.072,5.65,0,84,-4.48710067111849
3.065,3.072,5.65,0,86,-5.13110727840668
3.065,3.072,5.65,0,88,-5.73938084079784
3.065,3.072,5.65,0,90,-6.28829299756225
3.065,3.072,5.65,0,92,-6.76038057566738
3.065,3.072,5.65,0,94,-7.14568412347539
3.065,3.072,5.65,0,96,-7.44276403187516
3.065,3.072,5.65,0,98,-7.65906371238836
3.065,3.072,5.65,0,100,-7.81045513248052
3.065,3.072,5.65,0,102,-7.92005302032678
3.065,3.072,5.65,0,104,-8.01662081749863
3.065,3.072,5.65,0,106,-8.13300836287083
3.065,3.072,5.65,0,108,-8.30502642548961
3.065,3.072,5.65,0,110,-8.57103647785884
3.065,3.072,5.65,0,112,-8.97240896080626
3.065,3.072,5.65,0,114,-9.55492706967594
3.065,3.072,5.65,0,116,-10.3710998356276
3.065,3.072,5.65,0,118,-11.4826992624201
3.065,3.072,5.65,0,120,-12.9593626806299
3.065,3.072,5.65,0,122,-14.8519858172394
3.065,3.072,5.65,0,124,-17.0439821985339
3.065,3.072,5.65,0,126,-18.7422932697871
3.065,3.072,5.65,0,128,-18.502941765771
3.065,3.072,5.65,0,130,-16.7406222294292
3.065,3.072,5.65,0,132,-14.9186351561913
3.065,3.072,5.65,0,134,-13.5990258872958
3.065,3.072,5.65,0,136,-12.8939604131107
3.065,3.072,5.65,0,138,-12.8586649691173
3.065,3.072,5.65,0,140,-13.609409362123
3.065,3.072,5.65,0,142,-15.3985819891112
3.065,3.072,5.65,0,144,-18.7312238007047
3.065,3.072,5.65,0,146,-23.5494380749914
3.065,3.072,5.65,0,148,-21.7686164061611
3.065,3.072,5.65,0,150,-17.3020783186854
3.065,3.072,5.65,0,152,-14.9207401026085
3.065,3.072,5.65,0,154,-14.26750648703
3.065,3.072,5.65,0,156,-15.2603848781994
3.065,3.072,5.65,0,158,-18.3365521586336
3.065,3.072,5.65,0,160,-23.9100763931946
3.065,3.072,5.65,0,162,-21.7435682894129
3.065,3.072,5.65,0,164,-17.0321525980554
3.065,3.072,5.65,0,166,-15.0876413632201
3.065,3.072,5.65,0,168,-15.2317448181418
3.065,3.072,5.65,0,170,-16.9826569915218
3.065,3.072,5.65,0,172,-17.6968278756169
3.065,3.072,5.65,0,174,-14.5684042319917
3.065,3.072,5.65,0,176,-11.4860735708467
3.065,3.072,5.65,0,178,-9.79164432699625
3.065,3.072,5.65,0,180,-9.41149767168084
